district;RS;avStores;asymptote;standard error;completeness [%];func;state
Alb-Donau-Kreis, rural district;8425;543;585;14;93;Logis;Baden-Württemberg
Baden-Baden, urban district;8211;198;217;3;91;Logis;Baden-Württemberg
Bautzen, rural district;14625;1011;NA;NA;NA;NA;Sachsen
Biberach, rural district;8426;468;650;14;72;Micmen;Baden-Württemberg
Böblingen, urban district;8115;1548;NA;NA;NA;NA;Baden-Württemberg
Bodenseekreis, urban district;8435;1092;NA;NA;NA;NA;Baden-Württemberg
Breisgau-Hochschwarzwald, urban district;8315;1067;1446;151;74;Fpl;Baden-Württemberg
Calw,urban district;8235;457;470;6;97;Asymp;Baden-Württemberg
Chemnitz, independent city;14511;1087;1305;44;83;Fpl;Sachsen
Dresden, independent city;14612;3014;3218;20;94;Fpl;Sachsen
Emmendingen, urban district;8316;814;860;8;95;Fpl;Baden-Württemberg
Enzkreis, urban district;8236;570;641;10;89;Micmen;Baden-Württemberg
Erzgebirgskreis, urban district;14521;1524;1877;38;81;Asymp;Sachsen
Esslingen, urban district;8116;2224;NA;NA;NA;NA;Baden-Württemberg
Freiburg im Breisgau, independent city;8311;1479;NA;NA;NA;NA;Baden-Württemberg
Freudenstadt, rural district;8237;349;372;8;94;Logis;Baden-Württemberg
Göppingen, urban district;8117;811;1221;16;66;Micmen;Baden-Württemberg
Görlitz, rural district;14626;1026;1193;15;86;Asymp;Sachsen
Heidelberg, independent city;8221;1003;NA;NA;NA;NA;Baden-Württemberg
Heidenheim, urban district;8135;434;480;7;90;Asymp;Baden-Württemberg
Heilbronn, independent city;8125;1065;1102;6;97;Asymp;Baden-Württemberg
Heilbronn, urban district;8121;627;813;45;77;Micmen;Baden-Württemberg
Hohenlohekreis, rural district;8126;264;332;17;80;Logis;Baden-Württemberg
Karlsruhe, indepedent city;8215;1600;1996;50;80;Asymp;Baden-Württemberg
Karlsruhe, urban district;8212;1607;1952;24;82;Logis;Baden-Württemberg
Konstanz, urban district;8335;1044;NA;NA;NA;NA;Baden-Württemberg
Leipzig, independent city;14713;2537;NA;NA;NA;NA;Sachsen
Leipzig, rural district;14729;796;NA;NA;NA;NA;Sachsen
Lörrach, urban district;8336;678;841;42;81;Logis;Baden-Württemberg
Ludwigsburg, urban district;8118;1911;2260;90;85;Logis;Baden-Württemberg
Main-Tauber-Kreis, rural district;8128;499;506;2;99;Fpl;Baden-Württemberg
Mannheim, independent city;8222;2643;2643;11;100;Fpl;Baden-Württemberg
Meißen, rural district;14627;1470;1828;41;80;Logis;Sachsen
Mittelsachsen, rural district;14522;1678;1789;19;94;Fpl;Sachsen
Neckar-Odenwald-Kreis, rural district;8225;256;258;1;99;Logis;Baden-Württemberg
Nordsachsen, rural district;14730;620;1466;147;42;Asymp;Sachsen
Ortenaukreis, urban district;8317;1408;NA;NA;NA;NA;Baden-Württemberg
Ostalbkreis, urban district;8136;1119;1512;117;74;Asymp;Baden-Württemberg
Pforzheim, independent city;8231;434;NA;NA;NA;NA;Baden-Württemberg
Rastatt, urban district;8216;657;769;21;85;Logis;Baden-Württemberg
Ravensburg, urban district;8436;1049;NA;NA;NA;NA;Baden-Württemberg
Rems-Murr-Kreis, urban district;8119;1259;1526;39;83;Asymp;Baden-Württemberg
Reutlingen, urban district;8415;1162;1252;30;93;Logis;Baden-Württemberg
Rhein-Neckar-Kreis, urban district;8226;2377;2726;31;87;Logis;Baden-Württemberg
Rottweil, urban district;8325;484;603;26;80;Asymp;Baden-Württemberg
Sächsische Schweiz-Osterzgebirge, rural district;14628;1316;1355;8;97;Logis;Sachsen
Schwäbisch Hall, rural district;8127;530;634;24;84;Asymp;Baden-Württemberg
Schwarzwald-Baar-Kreis, urban district;8326;841;857;15;98;Asymp;Baden-Württemberg
Sigmaringen, rural district;8437;541;630;14;86;Fpl;Baden-Württemberg
Stuttgart, independent city;8111;2844;3188;53;89;Logis;Baden-Württemberg
Tübingen, urban district;8416;1002;1089;14;92;Logis;Baden-Württemberg
Tuttlingen, urban district;8327;390;402;7;97;Fpl;Baden-Württemberg
Ulm, independent city;8421;809;828;5;98;Logis;Baden-Württemberg
Vogtlandkreis, rural district;14523;812;NA;NA;NA;NA;Sachsen
Waldshut, rural district;8337;721;789;13;91;Logis;Baden-Württemberg
Zollernalbkreis, urban district;8417;380;428;5;89;Micmen;Baden-Württemberg
Zwickau, urban district;14524;1597;1979;57;81;Logis;Sachsen
